Title	URL	Assignees	Status	Sprint	Task type	Nature	Epic	Estimated (hours)	Actual time (hours)
Disable sending friend requests to people who are already your friends	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/111	Liototo	Done in Sprint #6	Sprint 7				2	
Update tests for Step goals Dialog	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/63	Santboneless	Done in Sprint #4	Sprint 4					
Put login screen in its own file	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/72	Liototo	Done in Sprint #4	Sprint 4					
Writing tests for the home screen	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/52	simoandreani	Done in Sprint #4	Sprint 4					
Implementation of a UI to display the friends list	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/48	Santboneless	Done in Sprint #4	Sprint 4					
Implement a function to check the online status of a user	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/75	Liototo	Done in Sprint #4	Sprint 4					
Writing tests for the progression page	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/51	Raytimz	Done in Sprint #4	Sprint 4					
Implement the UI to search friends	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/71	Liototo	Done in Sprint #4	Sprint 4					
Implement a search function to add friends	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/70	Liototo	Done in Sprint #4	Sprint 4					
Create a button to add checkpoints on the map	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/53	NizarBenMohamed	Done in Sprint #4	Sprint 4					
Create a UI for the checkpoint addition	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/54	NizarBenMohamed	Done in Sprint #4	Sprint 4					
Storage of the friends list in Firebase	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/49	Santboneless	Done in Sprint #4	Sprint 4					
Implement the UI for the progression of the route	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/56	simoandreani	Done in Sprint #4	Sprint 4					
Implement a function that share the location between 2 players	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/59	Raytimz	In Development	Sprint 7				5	
show all closest routes around the user current location	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/127	NizarBenMohamed	In Development	Sprint 7				3	
show all route inside the area	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/106	simoandreani	In Development	Sprint 6				5	
Implement UI and logic for notifications	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/87	Raytimz	In Development	Sprint 6				3	
As a social player, I want to add friends so that we can play together	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/37	Liototo	In Development	Sprint 6					
Store the newly created route to the database	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/62	changchuntzu0618	Done in Sprint #5	Sprint 5				6	5
Link friends list to database	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/89	Santboneless	Done in Sprint #5	Sprint 5				2	2
As a user, I want be able to add checkpoints along the route that I'm creating so that other users can see the points of interests that I marked		NizarBenMohamed	In Development	Sprint 6					
store and reset weekly step	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/112	changchuntzu0618	In Development	Sprint 7				5	0
clean daily step everyday in firebase	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/114	changchuntzu0618	In Development	Sprint 7				3	0
As a new player, I want to create a unique character through customization to play the game			Product Backlog						
As a social player, I want to be able to connect with my friends to play the game together	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/43		Product Backlog						
As a social player, I want to be able to contact my friends through a messaging plateform so that we can organize walks together			Product Backlog						
As a user who don't speak english, I want to have access to language settings so that I can understand the functionalities of this app			Product Backlog						
