Title	URL	Assignees	Status	Sprint	Task type	Nature	Epic	Estimated (hours)	Actual time (hours)
As a user, I want to follow the same paths as other users and checkout the points of interests they have marked to broaden my knowledge of my current area		changchuntzu0618, NizarBenMohamed, simoandreani	Done in Sprint #8	Sprint 8					
Implement a function that check if a challenge was completed	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/142	Raytimz	Done in Sprint #8	Sprint 8				3	
Add firebase emulator to the CI	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/155	Santboneless	In Development	Sprint 9				4	
implement checkpoint match button	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/151	simoandreani	In Development	Sprint 8				6	0
Challenge testing	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/158	Raytimz	In Development	Sprint 8					
Save picture to the database with the checkpoint	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/182	simoandreani	In Review	Sprint 8				3	5
As a new player, I want to create a unique character through customization to play the game			Product Backlog						
As a social player, I want to be able to connect with my friends to play the game together	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/43		Product Backlog						
As a social player, I want to be able to contact my friends through a messaging plateform so that we can organize walks together			Product Backlog						
As a user who don't speak english, I want to have access to language settings so that I can understand the functionalities of this app			Product Backlog						
Bug fixing and major manual app testing		Liototo, Raytimz, Santboneless	Sprint backlog	Sprint 9					
Offline mode (caching)			Sprint backlog						
Implement a function that share the location between 2 players	https://github.com/cs311-EPFL-StepQuest/ApplicationCode/issues/59	Raytimz	Sprint backlog	Sprint 7				5	
